"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
24748191,Photo,"Fulica atra","Foulque macroule",,"K B",2/21/2016,2016,2,21,1648,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Holzbrücke,47.2206,8.8121,,Inconnu,,Unspecified,,,,,,,,S27738959,,,,"Clams were on the menu for many coots and Pochard today.","estimated total from location counts: 1+5+200+50+50+60+50+200.  Not yet building nests on the channel borders under the bridge.",,,,"Fulica atra",eurcoo,Species,5268.0,,,3.0,1,committed,,,1336,1104,"https://macaulaylibrary.org/asset/24748191","https://ebird.org/view/checklist/S27738959","https://ebird.org/species/eurcoo",false,eurcoo
22130301,Photo,"Fulica atra","Foulque macroule",,"Plamen Peychev",6/30/2014,2014,6,30,1420,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S26369495,,,,,,,,,"Fulica atra",eurcoo,Species,5268.0,,,3.0,1,committed,,"https://ebird.org/profile/NTYzNzIx",1210,1816,"https://macaulaylibrary.org/asset/22130301","https://ebird.org/view/checklist/S26369495","https://ebird.org/species/eurcoo",false,eurcoo
22130291,Photo,"Fulica atra","Foulque macroule",,"Plamen Peychev",6/30/2014,2014,6,30,1420,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S26369495,,,,,,,,,"Fulica atra",eurcoo,Species,5268.0,,,3.0,1,committed,,"https://ebird.org/profile/NTYzNzIx",1730,2591,"https://macaulaylibrary.org/asset/22130291","https://ebird.org/view/checklist/S26369495","https://ebird.org/species/eurcoo",false,eurcoo
21082701,Photo,"Fulica atra","Foulque macroule",,"Etienne Artigau",1/3/2010,2010,1,3,1100,Switzerland,CH-ZH,Zürich,,Quaibrücke,47.3669,8.5434,,Inconnu,,Unspecified,,,,,,,,S18565222,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,2.0,1,committed,,"https://ebird.org/profile/MTIzNTEw",2723,4096,"https://macaulaylibrary.org/asset/21082701","https://ebird.org/view/checklist/S18565222","https://ebird.org/species/eurcoo",false,eurcoo
21082691,Photo,"Fulica atra","Foulque macroule",,"Etienne Artigau",1/3/2010,2010,1,3,1100,Switzerland,CH-ZH,Zürich,,Quaibrücke,47.3669,8.5434,,Inconnu,,Unspecified,,,,,,,,S18565222,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,3.5,2,committed,,"https://ebird.org/profile/MTIzNTEw",1839,2758,"https://macaulaylibrary.org/asset/21082691","https://ebird.org/view/checklist/S18565222","https://ebird.org/species/eurcoo",false,eurcoo
20836491,Photo,"Fulica atra","Foulque macroule",,"Linda Castilloux",10/13/2015,2015,10,13,1500,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S25487446,,,,"Foulque macroule normale avec plaque frontale blanche.","10 Foulques macroules et 4 ou 5 foulques avec une plaque jaune dont voici photos http://www.ornithomedia.com/magazine/analyses/etranges-foulques-avec-plaque-frontale-jaune-suisse-01978.html",,,,"Fulica atra",eurcoo,Species,5268.0,,,2.0,1,committed,,"https://ebird.org/profile/MzI3NTE1",600,800,"https://macaulaylibrary.org/asset/20836491","https://ebird.org/view/checklist/S25487446","https://ebird.org/species/eurcoo",false,eurcoo
20827591,Photo,"Fulica atra","Foulque macroule",,"Linda Castilloux",10/13/2015,2015,10,13,1500,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S25487446,,,,"Remarquez la plaque frontale jaune","10 Foulques macroules et 4 ou 5 foulques avec une plaque jaune dont voici photos http://www.ornithomedia.com/magazine/analyses/etranges-foulques-avec-plaque-frontale-jaune-suisse-01978.html",,,,"Fulica atra",eurcoo,Species,5299.0,,,4.0,2,committed,,"https://ebird.org/profile/MzI3NTE1",600,800,"https://macaulaylibrary.org/asset/20827591","https://ebird.org/view/checklist/S25487446","https://ebird.org/species/eurcoo",false,eurcoo
20827581,Photo,"Fulica atra","Foulque macroule",,"Linda Castilloux",10/13/2015,2015,10,13,1500,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S25487446,,,,"Plaque frontale jaune","10 Foulques macroules et 4 ou 5 foulques avec une plaque jaune dont voici photos http://www.ornithomedia.com/magazine/analyses/etranges-foulques-avec-plaque-frontale-jaune-suisse-01978.html",,,,"Fulica atra",eurcoo,Species,5268.0,,,2.0,1,committed,,"https://ebird.org/profile/MzI3NTE1",600,800,"https://macaulaylibrary.org/asset/20827581","https://ebird.org/view/checklist/S25487446","https://ebird.org/species/eurcoo",false,eurcoo
20827571,Photo,"Fulica atra","Foulque macroule",,"Linda Castilloux",10/13/2015,2015,10,13,1500,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S25487446,,,,"Plaque frontale jaune","10 Foulques macroules et 4 ou 5 foulques avec une plaque jaune dont voici photos http://www.ornithomedia.com/magazine/analyses/etranges-foulques-avec-plaque-frontale-jaune-suisse-01978.html",,,,"Fulica atra",eurcoo,Species,5268.0,,,3.5,2,committed,,"https://ebird.org/profile/MzI3NTE1",600,800,"https://macaulaylibrary.org/asset/20827571","https://ebird.org/view/checklist/S25487446","https://ebird.org/species/eurcoo",false,eurcoo
20528411,Photo,"Fulica atra","Foulque macroule",,"K B",10/24/2015,2015,10,24,1650,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Holzbrücke,47.2206,8.8121,,Inconnu,,Unspecified,,,,,,,,S25528312,,,,,"estimate, from combining estimated counts at each different location (390 [from start of boardwalk]+30 [to the left of boardwalk near boat docks]+200 [near open water]+300 [far open water]+460 [from detour under bridge]+50 [from another view of the lower lake]), also one leucistic individual.",,,,"Fulica atra",eurcoo,Species,5268.0,,,1.0,1,committed,,,160,224,"https://macaulaylibrary.org/asset/20528411","https://ebird.org/view/checklist/S25528312","https://ebird.org/species/eurcoo",false,eurcoo
