,Month,altitude,geoE,geoN
398,3.0,429.0,-1.1234783017231402,0.12923072700650254
141,4.0,372.0,-2.180600890119737,-1.2332577853388689
1142,9.0,1048.0,0.3743468383930688,-0.4258871884902248
1296,8.0,2019.0,0.6539838341475432,0.272439244512352
1338,9.0,2101.0,0.656396471493621,0.2722807500881571
1089,11.0,407.0,1.035162924336194,1.027031198104106
1372,5.0,2417.0,2.0994353723131374,0.82540868003666
209,5.0,373.0,-1.1726115732235485,-0.8824039616461686
526,1.0,408.0,1.0275728024664188,1.0549262167624023
379,5.0,379.0,-1.1533985269128149,-0.8044247049422949
530,1.0,408.0,1.0275728024664188,1.0549262167624023
9,1.0,461.0,-0.13989712615295957,0.696165282351536
1053,1.0,261.0,-0.07417477158682217,1.3611022233237278
342,4.0,261.0,-0.07417477158682217,1.3611022233237278
770,10.0,435.0,0.7260107446983222,0.41124513912389965
221,7.0,374.0,-1.4609305413255855,-0.6636816562572545
203,9.0,435.0,1.20885520276219,1.0063388705008876
407,3.0,408.0,1.0275728024664188,1.0549262167624023
1195,5.0,369.0,-2.2735666751558146,-1.2565564656955142
718,8.0,372.0,-1.5958797382817247,-0.7032172098480848
1112,6.0,261.0,-0.07417477158682217,1.3611022233237278
201,10.0,374.0,-1.6095102587624828,-0.6392382939480907
1303,8.0,3450.0,0.2986393351026555,-0.5767914908153138
1362,7.0,2417.0,2.0994353723131374,0.82540868003666
1314,6.0,2019.0,0.6539838341475432,0.272439244512352
1327,11.0,1955.0,0.01403618072340862,-0.25869318145621906
443,6.0,434.0,0.7332310462449767,0.4111394761744364
122,5.0,372.0,-1.1456146896356891,-0.8759233007457564
1210,9.0,435.0,1.20885520276219,1.0063388705008876
143,4.0,271.0,1.623300511540184,-1.6264296202915982
1084,11.0,407.0,1.035162924336194,1.027031198104106
397,3.0,429.0,-1.1234783017231402,0.12923072700650254
94,6.0,429.0,-1.0473129256517186,0.32884564903414687
1390,8.0,1951.0,-1.0647297018215767,-0.8038083377370926
520,7.0,408.0,1.0275728024664188,1.0549262167624023
540,1.0,288.0,-0.28528934461438293,1.3723201064584087
457,9.0,435.0,1.20885520276219,1.0063388705008876
695,12.0,434.0,0.7235628863690886,0.4143621961330653
238,5.0,434.0,0.7230345716217732,0.4133760086047417
