,Month,altitude,geoE,geoN
500,12.0,372.0,-2.1735566934888544,-1.227305439185773
662,7.0,1791.0,2.7441730794462726,-0.7262165118479175
738,5.0,396.0,2.2870047181019713,1.2812034230379383
571,11.0,407.0,1.035162924336194,1.027031198104106
1365,7.0,2417.0,2.0994353723131374,0.82540868003666
205,9.0,435.0,1.20885520276219,1.0063388705008876
612,6.0,429.0,-1.5095002770955226,-0.0946690629061106
208,9.0,372.0,-2.2002189777367462,-1.2364628948059206
1418,5.0,3450.0,0.2986393351026555,-0.5769852062226631
680,8.0,372.0,-2.1771668442621817,-1.2235191834966734
492,3.0,379.0,0.7987772958953423,0.9564131268795049
409,2.0,372.0,-2.193650264378448,-1.2334338902546411
1122,6.0,252.0,-0.24040020158408204,1.4025573204964736
140,3.0,372.0,-1.535739909545562,-0.6552990622665038
402,3.0,413.0,0.9727513421865721,0.6617719923012502
632,2.0,372.0,-2.1869758880706867,-1.2167039232562942
1252,3.0,3020.0,0.9047396237153977,-0.13091145457200315
76,8.0,261.0,-0.07417477158682217,1.3611022233237278
1179,5.0,396.0,2.2870047181019713,1.2812034230379383
1405,5.0,2417.0,2.0994353723131374,0.82540868003666
633,2.0,372.0,-2.1869758880706867,-1.2167039232562942
240,4.0,396.0,1.8776488413897896,1.6089346712897656
477,5.0,396.0,2.2870047181019713,1.2812034230379383
706,10.0,373.0,-1.6248842179093854,-0.6484661915345474
1410,5.0,1989.0,0.36705609488010627,-1.1573565666411056
613,6.0,429.0,-1.5095002770955226,-0.0946690629061106
1115,9.0,318.0,0.6137438608936252,1.4541032293429592
255,5.0,386.0,-2.1982994341548308,-1.219257444534989
1154,10.0,429.0,-0.9772055586828561,0.2644440813362999
1359,8.0,2661.0,-0.22557216767607358,-1.3888288679319178
639,1.0,397.0,2.1393935777018216,1.4503874156201686
1088,11.0,407.0,1.035162924336194,1.027031198104106
406,9.0,465.0,-0.13239505674106944,0.6388079112845719
698,10.0,372.0,-2.1841229884351785,-1.2251745697049308
582,9.0,423.0,-2.2575939592952876,-1.1887032416485346
1233,1.0,374.0,-1.6024132306568681,-0.6322645392835167
599,6.0,372.0,-2.2002189777367462,-1.2364628948059206
83,7.0,372.0,-1.1456146896356891,-0.8759233007457564
235,10.0,372.0,-2.1841229884351785,-1.2251745697049308
307,6.0,564.0,0.1804377156364403,-0.296414854414597
107,7.0,407.0,1.0241387566088624,1.0345156570244192
156,5.0,383.0,0.8425569779562787,1.1419748766285378
1086,11.0,407.0,1.035162924336194,1.027031198104106
529,1.0,408.0,1.0275728024664188,1.0549262167624023
1239,1.0,372.0,-2.1841229884351785,-1.2251745697049308
1139,6.0,407.0,1.035162924336194,1.027031198104106
243,4.0,372.0,-2.106372668121809,-0.9566145731525201
241,4.0,373.0,-1.1726115732235485,-0.8824039616461686
60,6.0,261.0,-0.07417477158682217,1.3611022233237278
367,6.0,372.0,-2.2002189777367462,-1.2364628948059206
478,5.0,396.0,2.2870047181019713,1.2812034230379383
486,5.0,428.0,-2.072173093478872,-1.183472925650104
727,2.0,429.0,-1.2445328208248627,0.020257005126744
473,5.0,396.0,1.8776488413897896,1.6089346712897656
