,Month,altitude,geoE,geoN
347,7.0,432.0,-0.9572704822174574,0.25826279879270014
479,8.0,372.0,-2.2002189777367462,-1.2364628948059206
466,6.0,438.0,-1.6147229642693368,-0.23333407358504057
189,7.0,434.0,0.7420186815420022,0.4039896165940903
331,9.0,406.0,1.0211801940238923,1.0272249135114553
101,5.0,435.0,0.7260107446983222,0.41124513912389965
424,1.0,372.0,-2.1841229884351785,-1.2251745697049308
10,4.0,193.0,1.490394131607002,-1.3168019573811403
269,1.0,406.0,1.030513754559812,1.0353961816032795
493,3.0,379.0,0.7987772958953423,0.9564131268795049
367,6.0,372.0,-2.2002189777367462,-1.2364628948059206
929,3.0,396.0,2.344150763270009,1.2895684065371118
442,12.0,408.0,1.0275728024664188,1.0549262167624023
392,4.0,428.0,0.9303276679770791,0.7203444872870415
1339,9.0,2101.0,0.656396471493621,0.2722807500881571
963,6.0,374.0,-2.1884375588715947,-1.1976845923529102
813,5.0,430.0,-0.9718167482602311,0.27125934157667914
1268,5.0,1591.0,0.2955574990766445,0.0024880191253418694
459,9.0,372.0,-2.1285618875090897,-1.0210689723250987
402,3.0,413.0,0.9727513421865721,0.6617719923012502
860,5.0,406.0,1.0299678293209178,1.0365584740473752
312,7.0,447.0,1.1225285730507197,0.3764644182589153
15,4.0,193.0,1.490394131607002,-1.3168019573811403
865,6.0,1048.0,0.3743468383930688,-0.4258871884902248
1468,5.0,558.0,-0.17156079000877877,-0.19061102101873575
1448,9.0,423.0,-2.2575939592952876,-1.1887032416485346
170,7.0,408.0,1.0275728024664188,1.0549262167624023
1441,12.0,369.0,-2.3751616010647236,-1.2802249663752807
326,10.0,406.0,1.3601293254104005,0.7372329487095832
1507,3.0,422.0,1.0640793515059697,1.1623678258749437
280,4.0,193.0,1.490394131607002,-1.3168019573811403
511,4.0,406.0,1.3929200607271595,0.754632114387864
40,5.0,193.0,1.5023340448963483,-1.3369483597454652
21,3.0,193.0,1.490394131607002,-1.3168019573811403
420,2.0,373.0,-1.1726115732235485,-0.8824039616461686
853,7.0,373.0,-2.1878564126495466,-1.2368503256206191
1332,3.0,1661.0,-0.02185400111093916,-1.6237528255718627
313,7.0,447.0,1.1225285730507197,0.3764644182589153
461,5.0,429.0,-1.1234783017231402,0.12923072700650254
1277,8.0,2417.0,2.0994353723131374,0.82540868003666
127,4.0,372.0,-2.1581651238503756,-1.0734601847672902
797,6.0,434.0,0.7325794580566187,0.40995957323876353
203,9.0,435.0,1.20885520276219,1.0063388705008876
1399,5.0,2070.0,0.2653202850385794,-0.5002739049123482
1252,3.0,3020.0,0.9047396237153977,-0.13091145457200315
61,5.0,261.0,-0.07417477158682217,1.3611022233237278
2,1.0,408.0,1.0275728024664188,1.0549262167624023
962,9.0,434.0,0.7230521821133502,0.41298857779004317
1494,9.0,398.0,1.8620459458523841,1.626228174018583
1451,4.0,261.0,-0.07417477158682217,1.3611022233237278
319,11.0,407.0,1.035162924336194,1.027031198104106
11,4.0,193.0,1.490394131607002,-1.3168019573811403
793,4.0,193.0,1.4906582889806606,-1.3081904269998859
81,8.0,318.0,0.6137438608936252,1.4541032293429592
179,8.0,1791.0,2.7441730794462726,-0.7262165118479175
446,9.0,434.0,0.7230345716217732,0.4133760086047417
195,2.0,372.0,-2.1841229884351785,-1.2251745697049308
1011,5.0,386.0,-2.1982994341548308,-1.219257444534989
1280,8.0,2417.0,2.0994353723131374,0.82540868003666
314,7.0,447.0,1.1225285730507197,0.3764644182589153
357,5.0,193.0,1.5023340448963483,-1.3369483597454652
1396,5.0,1795.0,0.5389873241483807,-0.31936132493969804
59,6.0,261.0,-0.07417477158682217,1.3611022233237278
353,8.0,438.0,-1.6147229642693368,-0.23333407358504057
154,5.0,383.0,0.8425569779562787,1.1419748766285378
338,6.0,261.0,-0.07417477158682217,1.3611022233237278
476,5.0,396.0,2.2870047181019713,1.2812034230379383
385,6.0,407.0,1.035162924336194,1.027031198104106
959,10.0,347.0,-2.3565120904844603,-1.2560809824229295
798,6.0,434.0,0.7325794580566187,0.40995957323876353
47,7.0,447.0,1.1225285730507197,0.3764644182589153
382,6.0,438.0,-1.6147229642693368,-0.23333407358504057
45,7.0,447.0,1.1225285730507197,0.3764644182589153
1311,7.0,3081.0,0.033231616542564346,-1.6826423094060439
285,5.0,193.0,1.490394131607002,-1.3168019573811403
1482,5.0,416.0,1.027414308042224,1.0472832634178944
213,4.0,429.0,-1.1234783017231402,0.12923072700650254
1384,10.0,2262.0,-0.8377128548997979,-0.6224554954750122
1306,8.0,1951.0,-1.0647297018215767,-0.8038083377370926
1256,1.0,3450.0,0.2986393351026555,-0.5767914908153138
1483,5.0,396.0,1.8776488413897896,1.6089346712897656
414,7.0,406.0,1.040340408859893,1.0086986763722332
419,2.0,373.0,-1.1726115732235485,-0.8824039616461686
500,12.0,372.0,-2.1735566934888544,-1.227305439185773
1423,11.0,2250.0,-0.2004596066869757,-0.8723483709555833
987,10.0,372.0,-2.1841229884351785,-1.2251745697049308
32,1.0,193.0,1.490394131607002,-1.3168019573811403
413,4.0,372.0,-2.180600890119737,-1.2332577853388689
