,Month,altitude,geoE,geoN
57,9.0,372.0,-1.6597882122154095,-0.6506146715069666
855,5.0,379.0,-1.1533985269128149,-0.8044247049422949
983,5.0,396.0,1.8776488413897896,1.6089346712897656
42,11.0,372.0,-2.1735566934888544,-1.227305439185773
802,11.0,372.0,-2.1735566934888544,-1.227305439185773
843,3.0,435.0,0.7260107446983222,0.41124513912389965
448,3.0,400.0,-2.1294071911047956,-0.9895285819103204
484,5.0,434.0,0.7230345716217732,0.4133760086047417
242,4.0,372.0,-1.6597882122154095,-0.6506146715069666
1023,6.0,372.0,-2.2002189777367462,-1.2364628948059206
1417,3.0,1537.0,2.761519413649821,-0.05763419911924372
1293,8.0,2417.0,2.0994353723131374,0.82540868003666
309,11.0,369.0,-2.3751616010647236,-1.2802249663752807
951,3.0,406.0,1.4358016077176599,0.7440305984583853
259,9.0,408.0,1.0275728024664188,1.0549262167624023
478,5.0,396.0,2.2870047181019713,1.2812034230379383
376,4.0,1798.0,2.83127457078714,-0.6358218585821126
305,11.0,372.0,-2.1735566934888544,-1.227305439185773
1424,9.0,3081.0,0.033231616542564346,-1.6826423094060439
1033,3.0,459.0,0.6827769878762782,0.1611585482359793
265,4.0,372.0,-1.1855376740412185,-0.8715382883430318
1020,6.0,372.0,-2.2002189777367462,-1.2364628948059206
1407,5.0,2417.0,2.0994353723131374,0.82540868003666
830,2.0,408.0,1.0275728024664188,1.0549262167624023
320,3.0,193.0,1.490394131607002,-1.3168019573811403
943,6.0,406.0,1.0211801940238923,1.0272249135114553
431,9.0,435.0,0.7260107446983222,0.41124513912389965
468,6.0,438.0,-1.6147229642693368,-0.23333407358504057
327,10.0,265.0,-0.20676416267161546,1.3568052633788892
98,3.0,435.0,0.7260107446983222,0.41124513912389965
880,3.0,372.0,-1.6597882122154095,-0.6506146715069666
833,7.0,372.0,-1.1456146896356891,-0.8759233007457564
370,9.0,434.0,0.7230345716217732,0.4133760086047417
1299,8.0,2070.0,0.2653202850385794,-0.5002739049123482
298,4.0,193.0,1.490394131607002,-1.3168019573811403
1270,11.0,1903.0,0.007678793264036976,-0.21936895376431523
117,6.0,407.0,1.035162924336194,1.027031198104106
62,5.0,261.0,-0.07417477158682217,1.3611022233237278
861,6.0,407.0,1.035162924336194,1.027031198104106
1408,5.0,2417.0,2.0994353723131374,0.82540868003666
405,9.0,465.0,-0.13239505674106944,0.6388079112845719
116,6.0,434.0,0.7325794580566187,0.40995957323876353
1504,1.0,374.0,-1.6024132306568681,-0.6322645392835167
1250,1.0,1822.0,-1.2235058938816774,-1.2078106250098044
1480,1.0,1630.0,-0.013436186137034234,-1.6139261712717812
395,4.0,372.0,-2.1581651238503756,-1.0734601847672902
1373,5.0,2417.0,2.0994353723131374,0.82540868003666
1436,10.0,488.0,0.9452613648345514,1.1244876584923709
1017,3.0,434.0,0.740662673690557,0.40592677066758304
134,10.0,429.0,-0.9772055586828561,0.2644440813362999
193,2.0,372.0,-2.1841229884351785,-1.2251745697049308
323,9.0,1060.0,-1.5943652360060847,0.24632288550335363
257,5.0,386.0,-2.1982994341548308,-1.219257444534989
980,6.0,372.0,-2.1771668442621817,-1.2235191834966734
809,11.0,372.0,-2.1841229884351785,-1.2251745697049308
183,7.0,407.0,1.035162924336194,1.027031198104106
952,6.0,434.0,0.7230345716217732,0.4133760086047417
1296,8.0,2019.0,0.6539838341475432,0.272439244512352
122,5.0,372.0,-1.1456146896356891,-0.8759233007457564
429,10.0,372.0,-1.5958797382817247,-0.7032172098480848
86,7.0,372.0,-1.1456146896356891,-0.8759233007457564
800,12.0,372.0,-2.1315556710772148,-1.1588710689167454
394,4.0,261.0,-0.07417477158682217,1.3611022233237278
1275,9.0,1884.0,-1.31328417994228,-1.368030877379236
166,6.0,434.0,0.7349040429448115,0.4174264216674994
149,6.0,408.0,1.0275728024664188,1.0549262167624023
801,12.0,372.0,-2.1315556710772148,-1.1588710689167454
8,1.0,461.0,-0.13989712615295957,0.696165282351536
73,8.0,396.0,2.2870047181019713,1.2812034230379383
1031,3.0,434.0,0.9554402289661779,0.24567129731499696
1030,3.0,434.0,0.9554402289661779,0.24567129731499696
162,5.0,396.0,1.8776488413897896,1.6089346712897656
27,12.0,377.0,-2.1872224349527674,-1.2061200178183926
932,7.0,408.0,1.0275728024664188,1.0549262167624023
209,5.0,373.0,-1.1726115732235485,-0.8824039616461686
1491,9.0,435.0,1.20885520276219,1.0063388705008876
85,7.0,372.0,-1.1456146896356891,-0.8759233007457564
1449,3.0,372.0,-1.6597882122154095,-0.6506146715069666
891,3.0,416.0,0.9963670113916079,0.6442671636735061
879,4.0,372.0,-1.6597882122154095,-0.6506146715069666
978,5.0,563.0,0.11624747383751988,-0.3104856371847856
237,6.0,429.0,-1.0062100383105168,0.30336326772192795
1462,7.0,193.0,1.4177156328678686,-1.3229832399247399
851,6.0,434.0,0.7570932623320923,0.27884946344645545
363,6.0,372.0,-2.2002189777367462,-1.2364628948059206
1285,7.0,1955.0,0.01403618072340862,-0.25869318145621906
1262,12.0,1644.0,0.17330546654767165,-0.5537041363575951
244,3.0,401.0,0.9973708094115077,1.084476621628956
434,8.0,1791.0,2.7441730794462726,-0.7262165118479175
375,7.0,372.0,-1.1298180786909349,-0.8417765575775515
158,4.0,383.0,0.8425569779562787,1.1419748766285378
318,11.0,407.0,1.035162924336194,1.027031198104106
221,7.0,374.0,-1.4609305413255855,-0.6636816562572545
110,4.0,427.0,-0.5757391821972622,0.5920520561470866
1,1.0,408.0,1.0275728024664188,1.0549262167624023
88,7.0,372.0,-1.1456146896356891,-0.8759233007457564
391,4.0,559.0,-0.17481873095056155,-0.1821932060448307
1440,2.0,443.0,1.582303287148446,-1.6663702151887043
471,6.0,372.0,-2.1771668442621817,-1.2235191834966734
444,9.0,373.0,-2.1878564126495466,-1.2368503256206191
120,6.0,372.0,-2.1315556710772148,-1.1588710689167454
440,6.0,373.0,-1.1726115732235485,-0.8824039616461686
247,2.0,407.0,1.035162924336194,1.027031198104106
948,5.0,434.0,0.7325794580566187,0.40995957323876353
969,10.0,429.0,-1.1234783017231402,0.12923072700650254
895,7.0,408.0,1.0212154150070463,1.0434793972372176
935,4.0,408.0,1.0275728024664188,1.0549262167624023
138,2.0,372.0,-2.180600890119737,-1.2332577853388689
1397,8.0,2167.0,0.3890163778768825,-0.3539307199057559
457,9.0,435.0,1.20885520276219,1.0063388705008876
43,11.0,372.0,-2.1735566934888544,-1.227305439185773
22,3.0,193.0,1.490394131607002,-1.3168019573811403
923,5.0,396.0,1.8776488413897896,1.6089346712897656
821,9.0,318.0,0.6137438608936252,1.4541032293429592
1267,11.0,3020.0,0.9047396237153977,-0.13091145457200315
1014,6.0,408.0,1.0275728024664188,1.0549262167624023
939,7.0,434.0,0.7420186815420022,0.4039896165940903
927,6.0,434.0,0.7349040429448115,0.4174264216674994
350,7.0,434.0,0.7230345716217732,0.4133760086047417
82,8.0,193.0,1.4176099699184048,-1.3006707470964183
329,10.0,318.0,0.6137438608936252,1.4541032293429592
1260,1.0,2884.0,0.09675265966155155,-0.5590225048139117
826,5.0,261.0,-0.07417477158682217,1.3611022233237278
205,9.0,435.0,1.20885520276219,1.0063388705008876
1350,10.0,3450.0,0.2986393351026555,-0.5767914908153138
173,8.0,429.0,-1.1131937746420508,0.2898912416653644
30,6.0,434.0,0.7325794580566187,0.40995957323876353
1411,5.0,1989.0,0.36705609488010627,-1.1573565666411056
284,5.0,193.0,1.490394131607002,-1.3168019573811403
165,11.0,372.0,-2.2002189777367462,-1.2364628948059206
433,8.0,372.0,-1.2471920050530212,-0.7495151922045626
64,4.0,261.0,-0.07417477158682217,1.3611022233237278
1409,5.0,1955.0,0.014441222029685008,-0.2581120352341712
252,9.0,353.0,0.6950867214887451,1.261285957064117
229,5.0,396.0,1.8776488413897896,1.6089346712897656
