"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
68765291,Photo,"Netta rufina","Nette rousse",,"Guido Bennen",5/16/2016,2016,5,16,0,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S39159445,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,4.0,2,committed,,"https://ebird.org/profile/NzQyMTE4",400,600,"https://macaulaylibrary.org/asset/68765291","https://ebird.org/view/checklist/S39159445","https://ebird.org/species/recpoc",false,recpoc
68173571,Photo,"Netta rufina","Nette rousse",,"Tarachand Wanvari",9/14/2012,2012,9,14,1320,Switzerland,CH-ZH,Zürich,,Quaibrucke,47.3668,8.5431,,"Adulte Mâle",,Unspecified,,,,,,,,S39041396,,,,,"Male in eclipse plumage",,,,"Netta rufina",recpoc,Species,558.0,,,1.0,1,committed,,"https://ebird.org/profile/NTAyOTQ3",525,700,"https://macaulaylibrary.org/asset/68173571","https://ebird.org/view/checklist/S39041396","https://ebird.org/species/recpoc",false,recpoc
68173561,Photo,"Netta rufina","Nette rousse",,"Tarachand Wanvari",9/14/2012,2012,9,14,1320,Switzerland,CH-ZH,Zürich,,Quaibrucke,47.3668,8.5431,,"Adulte Mâle",,Unspecified,,,,,,,,S39041396,,,,,"Male in eclipse plumage",,,,"Netta rufina",recpoc,Species,558.0,,,1.0,1,committed,,"https://ebird.org/profile/NTAyOTQ3",525,700,"https://macaulaylibrary.org/asset/68173561","https://ebird.org/view/checklist/S39041396","https://ebird.org/species/recpoc",false,recpoc
67024151,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",2/23/2014,2014,2,23,1600,Switzerland,CH-FR,Freiburg,,"Port de Portalban",46.9243,6.955,,Inconnu,,Unspecified,,,,,,,,S17455812,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,2,committed,,"https://ebird.org/profile/NDAwNjc1",1515,2590,"https://macaulaylibrary.org/asset/67024151","https://ebird.org/view/checklist/S17455812","https://ebird.org/species/recpoc",false,recpoc
67024141,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",2/23/2014,2014,2,23,1600,Switzerland,CH-FR,Freiburg,,"Port de Portalban",46.9243,6.955,,Inconnu,,Unspecified,,,,,,,,S17455812,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,2,committed,,"https://ebird.org/profile/NDAwNjc1",1365,2502,"https://macaulaylibrary.org/asset/67024141","https://ebird.org/view/checklist/S17455812","https://ebird.org/species/recpoc",false,recpoc
66966321,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",10/20/2014,2014,10,20,930,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,Inconnu,,Unspecified,,,,,,,,S22003001,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,3.0,1,committed,multiple_species,"https://ebird.org/profile/NDAwNjc1",1600,3139,"https://macaulaylibrary.org/asset/66966321","https://ebird.org/view/checklist/S22003001","https://ebird.org/species/recpoc",false,recpoc
66947551,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",4/15/2015,2015,4,15,1730,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,Inconnu,,Unspecified,,,,,,,,S22984505,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,2,committed,,"https://ebird.org/profile/NDAwNjc1",1628,2612,"https://macaulaylibrary.org/asset/66947551","https://ebird.org/view/checklist/S22984505","https://ebird.org/species/recpoc",false,recpoc
66947541,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",4/15/2015,2015,4,15,1730,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,Inconnu,,Unspecified,,,,,,,,S22984505,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,3.0,1,committed,,"https://ebird.org/profile/NDAwNjc1",1593,2446,"https://macaulaylibrary.org/asset/66947541","https://ebird.org/view/checklist/S22984505","https://ebird.org/species/recpoc",false,recpoc
66821851,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",11/21/2015,2015,11,21,1000,Switzerland,CH-FR,Freiburg,,"Estavayer-le-Lac - port",46.8521,6.8389,,Inconnu,,Unspecified,,,,,,,,S26469790,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,3.5,2,committed,,"https://ebird.org/profile/NDAwNjc1",1928,2989,"https://macaulaylibrary.org/asset/66821851","https://ebird.org/view/checklist/S26469790","https://ebird.org/species/recpoc",false,recpoc
66821841,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",11/21/2015,2015,11,21,1000,Switzerland,CH-FR,Freiburg,,"Estavayer-le-Lac - port",46.8521,6.8389,,Inconnu,,Unspecified,,,,,,,,S26469790,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,4.5,2,committed,,"https://ebird.org/profile/NDAwNjc1",1702,3398,"https://macaulaylibrary.org/asset/66821841","https://ebird.org/view/checklist/S26469790","https://ebird.org/species/recpoc",false,recpoc
66821711,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",11/22/2015,2015,11,22,1000,Switzerland,CH-FR,Freiburg,,"Estavayer-le-Lac - port",46.8521,6.8389,,Inconnu,,Unspecified,,,,,,,,S26469823,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,4.266666666666667,15,committed,,"https://ebird.org/profile/NDAwNjc1",1939,2993,"https://macaulaylibrary.org/asset/66821711","https://ebird.org/view/checklist/S26469823","https://ebird.org/species/recpoc",false,recpoc
66821701,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",11/22/2015,2015,11,22,1000,Switzerland,CH-FR,Freiburg,,"Estavayer-le-Lac - port",46.8521,6.8389,,Inconnu,,Unspecified,,,,,,,,S26469823,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,4.0,2,committed,,"https://ebird.org/profile/NDAwNjc1",1739,2810,"https://macaulaylibrary.org/asset/66821701","https://ebird.org/view/checklist/S26469823","https://ebird.org/species/recpoc",false,recpoc
66821691,Photo,"Netta rufina","Nette rousse",,"Patrick MONNEY",11/22/2015,2015,11,22,1000,Switzerland,CH-FR,Freiburg,,"Estavayer-le-Lac - port",46.8521,6.8389,,Inconnu,,Unspecified,,,,,,,,S26469823,,,,,,,,,"Netta rufina",recpoc,Species,558.0,,,3.0,1,committed,,"https://ebird.org/profile/NDAwNjc1",1403,2215,"https://macaulaylibrary.org/asset/66821691","https://ebird.org/view/checklist/S26469823","https://ebird.org/species/recpoc",false,recpoc
