"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
49587981,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/25/2017,2017,2,25,1610,Switzerland,CH-BE,Bern,,"Grosses Moos--Southwest--Felder Witzwil",46.9952,7.0841,,Inconnu,,Unspecified,,,,,,,,S34790077,,,,"Hare in the background",,,,,"Turdus merula",eurbla,Species,27894.0,,,1.0,1,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/49587981","https://ebird.org/view/checklist/S34790077","https://ebird.org/species/eurbla",false,eurbla
49587971,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/25/2017,2017,2,25,1610,Switzerland,CH-BE,Bern,,"Grosses Moos--Southwest--Felder Witzwil",46.9952,7.0841,,Inconnu,,Unspecified,,,,,,,,S34790077,,,,"Hare in the background",,,,,"Turdus merula",eurbla,Species,27894.0,,,2.0,1,committed,non_bird,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/49587971","https://ebird.org/view/checklist/S34790077","https://ebird.org/species/eurbla",false,eurbla
49587961,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/25/2017,2017,2,25,1610,Switzerland,CH-BE,Bern,,"Grosses Moos--Southwest--Felder Witzwil",46.9952,7.0841,,Inconnu,,Unspecified,,,,,,,,S34790077,,,,"Hare in the background",,,,,"Turdus merula",eurbla,Species,27894.0,,,1.0,1,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/49587961","https://ebird.org/view/checklist/S34790077","https://ebird.org/species/eurbla",false,eurbla
49587951,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/25/2017,2017,2,25,1610,Switzerland,CH-BE,Bern,,"Grosses Moos--Southwest--Felder Witzwil",46.9952,7.0841,,Inconnu,,Unspecified,,,,,,,,S34790077,,,,"Hare in the background",,,,,"Turdus merula",eurbla,Species,27894.0,,,2.0,1,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/49587951","https://ebird.org/view/checklist/S34790077","https://ebird.org/species/eurbla",false,eurbla
47526391,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/5/2017,2017,2,5,1118,Switzerland,CH-LU,Luzern,,Baldeggersee--Baldegg,47.1851,8.2766,,Inconnu,,Unspecified,,,,,,,,S34174717,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,2.0,1,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/47526391","https://ebird.org/view/checklist/S34174717","https://ebird.org/species/eurbla",false,eurbla
47526371,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/5/2017,2017,2,5,1118,Switzerland,CH-LU,Luzern,,Baldeggersee--Baldegg,47.1851,8.2766,,Inconnu,,Unspecified,,,,,,,,S34174717,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,4.0,3,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/47526371","https://ebird.org/view/checklist/S34174717","https://ebird.org/species/eurbla",false,eurbla
47526361,Photo,"Turdus merula","Merle noir",,"Ashwin Viswanathan",2/5/2017,2017,2,5,1118,Switzerland,CH-LU,Luzern,,Baldeggersee--Baldegg,47.1851,8.2766,,Inconnu,,Unspecified,,,,,,,,S34174717,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,2.0,1,committed,,"https://ebird.org/profile/NDk0MDUw",2248,4000,"https://macaulaylibrary.org/asset/47526361","https://ebird.org/view/checklist/S34174717","https://ebird.org/species/eurbla",false,eurbla
46677851,Photo,"Turdus merula","Merle noir",,"Todd Bishop",8/26/2016,2016,8,26,758,Switzerland,CH-BS,Basel-Stadt,,"Zoo Basel",47.5476,7.5799,,Inconnu,,Unspecified,,,,,,,,S32490262,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,3.5,2,committed,,,1198,1796,"https://macaulaylibrary.org/asset/46677851","https://ebird.org/view/checklist/S32490262","https://ebird.org/species/eurbla",false,eurbla
46427391,Photo,"Turdus merula","Merle noir",,"Raphaël Nussbaumer",1/24/2017,2017,1,24,1500,Switzerland,CH-VD,Vaud,,"Port des Pierrettes",46.5171,6.5778,,Inconnu,,Unspecified,,,,,,,,S33908542,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,4.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",3511,5267,"https://macaulaylibrary.org/asset/46427391","https://ebird.org/view/checklist/S33908542","https://ebird.org/species/eurbla",false,eurbla
46427381,Photo,"Turdus merula","Merle noir",,"Raphaël Nussbaumer",1/24/2017,2017,1,24,1500,Switzerland,CH-VD,Vaud,,"Port des Pierrettes",46.5171,6.5778,,Inconnu,,Unspecified,,,,,,,,S33908542,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,3.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",2788,4182,"https://macaulaylibrary.org/asset/46427381","https://ebird.org/view/checklist/S33908542","https://ebird.org/species/eurbla",false,eurbla
39115531,Photo,"Turdus merula","Merle noir",,"John Pike",6/26/2014,2014,6,26,1300,Switzerland,CH-VS,Wallis,,"Val d'Illiez",46.1965,6.8939,,Inconnu,,Unspecified,,,,,,,,S32393406,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,3.0,1,committed,,"https://ebird.org/profile/MTc2NzU2",2003,3077,"https://macaulaylibrary.org/asset/39115531","https://ebird.org/view/checklist/S32393406","https://ebird.org/species/eurbla",false,eurbla
31936811,Photo,"Turdus merula","Merle noir",,"Serge Wolf",8/3/2016,2016,8,3,900,Switzerland,CH-FR,Freiburg,,"Le Cousimbert",46.6919,7.1857,,Inconnu,,Unspecified,,,,,,,,S30955322,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,2.0,1,committed,,"https://ebird.org/profile/NTQxNDM4",2987,3984,"https://macaulaylibrary.org/asset/31936811","https://ebird.org/view/checklist/S30955322","https://ebird.org/species/eurbla",false,eurbla
27945931,Photo,"Turdus merula","Merle noir",,"Thomas Brooks",5/1/2016,2016,5,1,1200,Switzerland,CH-VD,Vaud,,"Col du Marchairuz",46.5526,6.2504,,Inconnu,,Unspecified,,,,,,,,S29325539,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,1.0,1,committed,,,3000,4000,"https://macaulaylibrary.org/asset/27945931","https://ebird.org/view/checklist/S29325539","https://ebird.org/species/eurbla",false,eurbla
25950801,Photo,"Turdus merula","Merle noir",,"Satheesh Muthu Gopal B",3/20/2016,2016,3,20,1645,Switzerland,CH-ZH,Zürich,,"Glatt River--Opfikon",47.4315,8.57,,Inconnu,,Unspecified,,,,,,,,S28454685,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,4.333333333333333,3,committed,,"https://ebird.org/profile/NTYxMTg1",1568,2355,"https://macaulaylibrary.org/asset/25950801","https://ebird.org/view/checklist/S28454685","https://ebird.org/species/eurbla",false,eurbla
22130511,Photo,"Turdus merula","Merle noir",,"Plamen Peychev",6/30/2014,2014,6,30,1420,Switzerland,CH-TI,Ticino,,"Parco Civico",46.0051,8.9582,,Inconnu,,Unspecified,,,,,,,,S26369495,,,,,,,,,"Turdus merula",eurbla,Species,27894.0,,,2.5,2,committed,,"https://ebird.org/profile/NTYzNzIx",1730,2590,"https://macaulaylibrary.org/asset/22130511","https://ebird.org/view/checklist/S26369495","https://ebird.org/species/eurbla",false,eurbla
