"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
66602801,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",8/19/2017,2017,8,19,1500,Switzerland,CH-VD,Vaud,,"Rochers de Naye",46.4318,6.9764,,Inconnu,,Unspecified,,,,,,,,S38743846,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/66602801","https://ebird.org/view/checklist/S38743846","https://ebird.org/species/combuz1",false,combuz1
66602791,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",8/19/2017,2017,8,19,1500,Switzerland,CH-VD,Vaud,,"Rochers de Naye",46.4318,6.9764,,Inconnu,,Unspecified,,,,,,,,S38743846,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/66602791","https://ebird.org/view/checklist/S38743846","https://ebird.org/species/combuz1",false,combuz1
66602781,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",8/19/2017,2017,8,19,1500,Switzerland,CH-VD,Vaud,,"Rochers de Naye",46.4318,6.9764,,Inconnu,,Unspecified,,,,,,,,S38743846,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/66602781","https://ebird.org/view/checklist/S38743846","https://ebird.org/species/combuz1",false,combuz1
66602761,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",8/19/2017,2017,8,19,1500,Switzerland,CH-VD,Vaud,,"Rochers de Naye",46.4318,6.9764,,Inconnu,,Unspecified,,,,,,,,S38743846,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/66602761","https://ebird.org/view/checklist/S38743846","https://ebird.org/species/combuz1",false,combuz1
66153001,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",8/15/2017,2017,8,15,645,Switzerland,CH-VD,Vaud,,Avenches,46.8831,7.0245,,Inconnu,,Unspecified,,,,,,,,S38660997,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/66153001","https://ebird.org/view/checklist/S38660997","https://ebird.org/species/combuz1",false,combuz1
65686141,Photo,"Buteo buteo","Buse variable",,"Robin Irizarry",8/2/2017,2017,8,2,1230,Switzerland,CH-BE,Bern,,Lütschinendelta,46.691,7.8985,,Inconnu,,Unspecified,,,,,,,,S38446356,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,4.0,2,committed,,"https://ebird.org/profile/NTM1NTUx",1131,1764,"https://macaulaylibrary.org/asset/65686141","https://ebird.org/view/checklist/S38446356","https://ebird.org/species/combuz1",false,combuz1
61924171,Photo,"Buteo buteo","Buse variable",,"Kai Frueh",6/1/2017,2017,6,1,636,Switzerland,CH-AR,"Appenzell Ausserrhoden",,"CH-Appenzell Outer Rhodes-Wolfhalden-Hinterbühle 852 - 47.4566x9.5765",47.4566,9.5765,,Inconnu,,Unspecified,,,,,,,,S37302494,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.0,1,committed,,"https://ebird.org/profile/NjQxODg3",3456,4608,"https://macaulaylibrary.org/asset/61924171","https://ebird.org/view/checklist/S37302494","https://ebird.org/species/combuz1",false,combuz1
61924121,Photo,"Buteo buteo","Buse variable",,"Kai Frueh",6/1/2017,2017,6,1,636,Switzerland,CH-AR,"Appenzell Ausserrhoden",,"CH-Appenzell Outer Rhodes-Wolfhalden-Hinterbühle 852 - 47.4566x9.5765",47.4566,9.5765,,Inconnu,,Unspecified,,,,,,,,S37302494,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.0,1,committed,,"https://ebird.org/profile/NjQxODg3",3456,4608,"https://macaulaylibrary.org/asset/61924121","https://ebird.org/view/checklist/S37302494","https://ebird.org/species/combuz1",false,combuz1
61670661,Photo,"Buteo buteo","Buse variable",,"Christopher Rex Prevett",6/18/2017,2017,6,18,1315,Switzerland,CH-ZH,Zürich,,Zürichhorn,47.3532,8.5505,,Inconnu,,Unspecified,,,,,,,,S37739039,,,,"Possibly a Common Buzzard being harassed by a Crow at a great distance","Common Buzzard being harassed by a Rook",,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,"https://ebird.org/profile/NTIxODYx",571,573,"https://macaulaylibrary.org/asset/61670661","https://ebird.org/view/checklist/S37739039","https://ebird.org/species/combuz1",false,combuz1
61564941,Photo,"Buteo buteo","Buse variable",,"Kai Frueh",6/3/2017,2017,6,3,826,Switzerland,CH-AR,"Appenzell Ausserrhoden",,"Egg 941, Teufen AR CH-Appenzell Outer Rhodes (47.3987,9.3911)",47.3987,9.3911,,Inconnu,,Unspecified,,,,,,,,S37477824,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.6666666666666665,3,committed,habitat,"https://ebird.org/profile/NjQxODg3",3456,4608,"https://macaulaylibrary.org/asset/61564941","https://ebird.org/view/checklist/S37477824","https://ebird.org/species/combuz1",false,combuz1
61224541,Photo,"Buteo buteo","Buse variable",,"Fred Peters",6/11/2017,2017,6,11,0,Switzerland,CH-FR,Freiburg,,"Gruyeres area (general)",46.5888,7.0851,,"Adulte Femelle",,Unspecified,,,,,,,,S37625905,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,2.0,1,committed,,,1789,3181,"https://macaulaylibrary.org/asset/61224541","https://ebird.org/view/checklist/S37625905","https://ebird.org/species/combuz1",false,combuz1
61177171,Photo,"Buteo buteo","Buse variable",,"Kai Frueh",5/24/2017,2017,5,24,0,Switzerland,CH-AR,"Appenzell Ausserrhoden",,"CH-Appenzell Outer Rhodes-Lutzenberg-Brenden 316 - 47.4593x9.5814 - Jun 1, 2017, 11:33 AM",47.4593,9.5814,,Inconnu,,Unspecified,,,,,,,,S37613836,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,4.0,3,committed,,"https://ebird.org/profile/NjQxODg3",3456,4608,"https://macaulaylibrary.org/asset/61177171","https://ebird.org/view/checklist/S37613836","https://ebird.org/species/combuz1",false,combuz1
61177141,Photo,"Buteo buteo","Buse variable",,"Kai Frueh",5/24/2017,2017,5,24,0,Switzerland,CH-AR,"Appenzell Ausserrhoden",,"CH-Appenzell Outer Rhodes-Lutzenberg-Brenden 316 - 47.4593x9.5814 - Jun 1, 2017, 11:33 AM",47.4593,9.5814,,Inconnu,,Unspecified,,,,,,,,S37613836,,,,,,,,,"Buteo buteo",combuz1,Species,7982.0,,,3.0,4,committed,,"https://ebird.org/profile/NjQxODg3",3456,4608,"https://macaulaylibrary.org/asset/61177141","https://ebird.org/view/checklist/S37613836","https://ebird.org/species/combuz1",false,combuz1
