Month,altitude,geoE,geoN
12.0,434.0,8.413607317145136,0.41335005843741923
6.0,438.0,6.076235938592473,-0.23409290599786675
6.0,435.0,8.416054218149963,0.41023422046724484
12.0,406.0,8.718202483235126,1.032345598241056
6.0,2250.0,7.489946196834104,-0.8728572934879776
5.0,377.0,5.543709303362265,-1.2018686588131766
6.0,408.0,8.717498339061075,1.0536635631104416
2.0,2578.0,7.6830929437762165,-1.664227327099231
6.0,372.0,6.0311883150575785,-0.6512103111011621
6.0,193.0,9.18013866501675,-1.3171370601052796
4.0,261.0,7.616181643637047,1.3597198283615872
4.0,271.0,9.31190164358599,-1.6331217582105402
2.0,372.0,5.507058599102924,-1.2255455066656322
2.0,408.0,8.718765798574367,1.0397919228816426
5.0,396.0,9.567241924701133,1.607455352396982
5.0,2070.0,7.955543928320791,-0.5009283407543872
5.0,428.0,5.618964711963935,-1.1838601715618295
2.0,429.0,6.181417474591299,-0.09548212533598247
2.0,429.0,6.181417474591299,-0.09548212533598247
5.0,396.0,9.567241924701133,1.607455352396982
11.0,429.0,6.603023798804168,0.1596117053182422
5.0,434.0,8.413079209014597,0.41236425659374826
3.0,372.0,6.15518810410791,-0.6558928698585994
1.0,193.0,9.18013866501675,-1.3171370601052796
2.0,429.0,6.567288481971094,0.12833010038603898
5.0,558.0,7.518833711574534,-0.19138656184169056
1.0,408.0,8.717498339061075,1.0536635631104416
2.0,2884.0,7.7870422274704545,-0.5596539648702172
6.0,438.0,6.076235938592473,-0.23409290599786675
9.0,2019.0,8.344055476353276,0.2714826109705504
6.0,434.0,8.424944038347352,0.4164130855945399
6.0,407.0,8.725085492536472,1.0257794538180331
4.0,193.0,9.18013866501675,-1.3171370601052796
5.0,261.0,7.616181643637047,1.3597198283615872
7.0,447.0,8.812416973723114,0.3754671018734905
3.0,429.0,6.567288481971094,0.12833010038603898
2.0,408.0,8.718765798574367,1.0397919228816426
7.0,407.0,8.725085492536472,1.0257794538180331
6.0,2580.0,7.620072040198677,-1.666216534390924
5.0,396.0,9.567241924701133,1.607455352396982
5.0,386.0,5.492887697600153,-1.219630695603606
10.0,261.0,7.616181643637047,1.3597198283615872
6.0,564.0,7.870694555347679,-0.29714901678410877
10.0,374.0,6.081446605480449,-0.6398383826902431
7.0,372.0,6.54516075130155,-0.876430825171285
8.0,261.0,7.616181643637047,1.3597198283615872
7.0,2417.0,9.788941717901002,0.8242357876003658
1.0,193.0,9.18013866501675,-1.3171370601052796
4.0,271.0,9.31299306705577,-1.6266436318092736
8.0,1791.0,10.433427276805276,-0.7267825845811557
9.0,435.0,8.898709842253028,1.0050952187052933
3.0,400.0,5.561752997822314,-0.989991676841315
5.0,2417.0,9.788941717901002,0.8242357876003658
8.0,372.0,6.0311883150575785,-0.6512103111011621
6.0,438.0,6.076235938592473,-0.23409290599786675
4.0,372.0,5.584778512313773,-0.957090540308795
1.0,1822.0,6.467300009255892,-1.208188352775282
7.0,372.0,6.5609511844046375,-0.8422974363341763
8.0,259.0,7.607168598209197,1.3581179003656219
3.0,408.0,8.720209294131172,1.0409889679775288
5.0,318.0,8.303831240410629,1.4526844629406337
3.0,372.0,5.497535049148889,-1.2338015971063767
6.0,372.0,5.490968904725865,-1.2368294170547949
12.0,372.0,5.517620761713685,-1.2276755427921355
9.0,1048.0,8.064527842859492,-0.42657071597463114
1.0,408.0,8.717498339061075,1.0536635631104416
4.0,2884.0,7.7870422274704545,-0.5596539648702172
9.0,566.0,7.808395399548542,-0.3055283324553123
1.0,373.0,6.518174425831056,-0.8829089515725517
4.0,437.0,8.93330092480327,0.9543616309649389
5.0,434.0,8.413079209014597,0.41236425659374826
5.0,409.0,8.632807398527126,1.2944456634270856
6.0,434.0,8.423271695933982,0.4101285988411372
2.0,429.0,6.181417474591299,-0.09548212533598247
5.0,430.0,6.718890722644214,0.27030316947901545
4.0,429.0,6.567288481971094,0.12833010038603898
4.0,193.0,9.18013866501675,-1.3171370601052796
11.0,429.0,6.446281305660477,0.019398996660392548
3.0,434.0,8.413079209014597,0.41236425659374826
4.0,372.0,6.0311883150575785,-0.6512103111011621
5.0,396.0,9.976437707846358,1.2798522754198842
12.0,406.0,9.126482878954086,0.7438929373411786
8.0,407.0,8.721776014918435,1.0331729676455657
9.0,373.0,5.503326634980455,-1.237216696350523
7.0,406.0,9.082702714932482,0.7534869017126197
9.0,372.0,5.562597970831175,-1.0215197322344358
1.0,288.0,7.4051496346740455,1.370933324333345
6.0,372.0,5.490968904725865,-1.2368294170547949
9.0,435.0,8.898709842253028,1.0050952187052933
6.0,438.0,6.076235938592473,-0.23409290599786675
1.0,3081.0,7.7235460265754305,-1.682834336898521
10.0,406.0,9.049924803630422,0.7360945406135668
2.0,416.0,8.68630475215063,0.6431651132432231
10.0,318.0,8.303831240410629,1.4526844629406337
7.0,193.0,9.05714228141444,-1.3378917096354246
6.0,372.0,5.490968904725865,-1.2368294170547949
7.0,193.0,9.05714228141444,-1.3378917096354246
9.0,435.0,8.898709842253028,1.0050952187052933
6.0,2412.0,10.869186898916563,-0.3539030372125968
5.0,396.0,9.976437707846358,1.2798522754198842
4.0,193.0,9.18013866501675,-1.3171370601052796
1.0,373.0,6.100704948640735,-0.633008184201951
8.0,431.0,6.211660466866777,-0.10986427009096843
3.0,429.0,6.567288481971094,0.12833010038603898
3.0,400.0,5.561752997822314,-0.989991676841315
9.0,372.0,5.562597970831175,-1.0215197322344358
8.0,1791.0,10.433427276805276,-0.7267825845811557
4.0,429.0,6.567288481971094,0.12833010038603898
2.0,372.0,5.507058599102924,-1.2255455066656322
1.0,1609.0,7.672090691056674,-1.6083006760752523
6.0,429.0,6.181417474591299,-0.09548212533598247
4.0,429.0,6.567288481971094,0.12833010038603898
8.0,2167.0,8.079191645284098,-0.35464238859535
8.0,2019.0,8.344055476353276,0.2714826109705504
9.0,372.0,6.0311883150575785,-0.6512103111011621
3.0,372.0,6.15518810410791,-0.6558928698585994
2.0,372.0,5.510579319973178,-1.2336255610628641
12.0,406.0,8.718202483235126,1.032345598241056
6.0,438.0,6.076235938592473,-0.23409290599786675
2.0,408.0,8.717498339061075,1.0536635631104416
6.0,1869.0,7.709322314259606,-0.25530524924114467
1.0,193.0,9.18013866501675,-1.3171370601052796
9.0,435.0,8.898709842253028,1.0050952187052933
12.0,372.0,6.153304518442324,-0.6551007076627924
7.0,407.0,8.725085492536472,1.0257794538180331
9.0,353.0,8.385142288909137,1.2599425988986002
8.0,396.0,9.976437707846358,1.2798522754198842
7.0,564.0,7.870694555347679,-0.29714901678410877
7.0,193.0,9.107488589859067,-1.3233159252325746
2.0,407.0,8.725085492536472,1.0257794538180331
11.0,372.0,5.517620761713685,-1.2276755427921355
5.0,1359.0,9.865042099511534,0.8726985103794066
7.0,558.0,7.7731001728242495,-0.33193373898221434
5.0,372.0,6.54516075130155,-0.876430825171285
5.0,406.0,8.717357510226266,1.0268532736834606
5.0,377.0,5.503960364737101,-1.2064984067575601
5.0,396.0,9.976437707846358,1.2798522754198842
12.0,369.0,5.316094699100369,-1.2805743738676958
9.0,465.0,7.557984127651754,0.63770799589433
8.0,396.0,9.976437707846358,1.2798522754198842
10.0,429.0,6.181417474591299,-0.09548212533598247
6.0,1955.0,7.704358097832548,-0.2594420962636927
7.0,447.0,8.812416973723114,0.3754671018734905
8.0,372.0,6.443623161403436,-0.7500721531378832
1.0,248.0,7.453735582683546,1.4017572355524153
6.0,373.0,6.518174425831056,-0.8829089515725517
5.0,2019.0,8.344055476353276,0.2714826109705504
5.0,429.0,6.567288481971094,0.12833010038603898
4.0,440.0,6.643688124855597,0.027461447453273294
8.0,372.0,5.514012022821675,-1.2238907678566129
10.0,1955.0,7.704358097832548,-0.2594420962636927
8.0,1951.0,6.626014106086924,-0.8043440653528425
1.0,406.0,8.720438140987737,1.0341411658848856
7.0,373.0,5.503326634980455,-1.237216696350523
4.0,372.0,6.0311883150575785,-0.6512103111011621
9.0,435.0,8.416054218149963,0.41023422046724484
4.0,318.0,8.303831240410629,1.4526844629406337
6.0,470.0,8.258413941184358,0.0240463482091273
8.0,2417.0,9.788941717901002,0.8242357876003658
4.0,272.0,9.323396797227367,-1.6213625505038933
10.0,265.0,7.48364410647635,1.355424548899878
5.0,409.0,8.632807398527126,1.2944456634270856
9.0,423.0,5.433616361749435,-1.189088442054156
7.0,372.0,6.54516075130155,-0.876430825171285
10.0,558.0,7.611041391166476,-0.3300501533166286
4.0,271.0,9.31299306705577,-1.6266436318092736
5.0,3450.0,7.9888499477533905,-0.5776096413085106
3.0,413.0,8.662698318715579,0.6606630959683835
5.0,386.0,5.492887697600153,-1.219630695603606
8.0,396.0,9.976437707846358,1.2798522754198842
2.0,372.0,5.510579319973178,-1.2336255610628641
6.0,372.0,5.490968904725865,-1.2368294170547949
10.0,318.0,8.303831240410629,1.4526844629406337
6.0,193.0,9.18013866501675,-1.3171370601052796
6.0,372.0,5.490968904725865,-1.2368294170547949
5.0,386.0,5.492887697600153,-1.219630695603606
10.0,318.0,8.303831240410629,1.4526844629406337
7.0,372.0,6.54516075130155,-0.876430825171285
10.0,273.0,9.323537626062178,-1.621151307251678
9.0,429.0,6.567288481971094,0.12833010038603898
4.0,372.0,5.531686041590349,-1.0967751408361066
5.0,2417.0,9.788941717901002,0.8242357876003658
8.0,2070.0,7.955543928320791,-0.5009283407543872
6.0,261.0,7.616181643637047,1.3597198283615872
3.0,318.0,8.303831240410629,1.4526844629406337
2.0,372.0,5.497535049148889,-1.2338015971063767
8.0,2417.0,9.788941717901002,0.8242357876003658
1.0,372.0,5.517620761713685,-1.2276755427921355
8.0,1791.0,10.433427276805276,-0.7267825845811557
6.0,407.0,8.725085492536472,1.0257794538180331
7.0,2099.0,7.4821478001064925,-0.8979248260841832
10.0,193.0,9.18013866501675,-1.3171370601052796
12.0,395.0,5.555098835377535,-1.0155345067550048
2.0,372.0,5.507058599102924,-1.2255455066656322
7.0,193.0,9.107488589859067,-1.3233159252325746
10.0,435.0,8.416054218149963,0.41023422046724484
10.0,372.0,6.095071795248329,-0.7037922772983997
6.0,2070.0,7.955543928320791,-0.5009283407543872
11.0,1955.0,7.704358097832548,-0.2594420962636927
3.0,408.0,8.717498339061075,1.0536635631104416
10.0,372.0,5.507058599102924,-1.2255455066656322
6.0,429.0,6.567288481971094,0.12833010038603898
4.0,372.0,5.533006311916694,-1.0738904551794581
6.0,438.0,6.076235938592473,-0.23409290599786675
7.0,564.0,7.870694555347679,-0.29714901678410877
4.0,372.0,6.0311883150575785,-0.6512103111011621
6.0,369.0,5.316094699100369,-1.2805743738676958
1.0,261.0,7.616181643637047,1.3597198283615872
1.0,434.0,8.413079209014597,0.41236425659374826
6.0,372.0,5.490968904725865,-1.2368294170547949
8.0,2417.0,9.788941717901002,0.8242357876003658
2.0,407.0,8.725085492536472,1.0257794538180331
2.0,373.0,6.518174425831056,-0.8829089515725517
4.0,1798.0,10.520494703926646,-0.636423283446097
9.0,372.0,5.490968904725865,-1.2368294170547949
2.0,372.0,5.507058599102924,-1.2255455066656322
3.0,406.0,9.12556749152782,0.7428895318931563
5.0,409.0,8.632807398527126,1.2944456634270856
